"Name"	"Gender"	"Freq.x"	"Freq.y"
"2"	"Aabha"	"F"	7	7
"5"	"Aabriella"	"F"	5	11
"6"	"Aada"	"F"	5	NA
"14"	"Aadhira"	"F"	8	14
"16"	"Aadhvika"	"F"	NA	9
"17"	"Aadhya"	"F"	265	284
"26"	"Aaditri"	"F"	NA	11
"31"	"Aadrika"	"F"	9	NA
"33"	"Aadriti"	"F"	NA	5
"34"	"Aadvi"	"F"	NA	7
"36"	"Aadvika"	"F"	7	13
"37"	"Aadya"	"F"	159	159
"39"	"Aafia"	"F"	6	NA
"40"	"Aafiya"	"F"	NA	6
"41"	"Aafiyah"	"F"	NA	5
"43"	"Aagna"	"F"	NA	7
"46"	"Aahana"	"F"	31	51
"49"	"Aahna"	"F"	12	NA
"52"	"Aaila"	"F"	7	11
"53"	"Aailiyah"	"F"	5	NA
"54"	"Aailyah"	"F"	6	6
"55"	"Aaima"	"F"	12	21
"56"	"Aaira"	"F"	24	31
"57"	"Aairah"	"F"	19	28
"58"	"Aaisha"	"F"	11	7
"59"	"Aakanksha"	"F"	NA	5
"61"	"Aakriti"	"F"	8	5
"62"	"Aala"	"F"	6	9
"63"	"Aalaiyah"	"F"	11	10
"64"	"Aalani"	"F"	17	16
"65"	"Aalaya"	"F"	9	7
"66"	"Aalayah"	"F"	70	66
"67"	"Aalayiah"	"F"	8	5
"68"	"Aalayna"	"F"	5	NA
"69"	"Aalaysia"	"F"	9	9
"70"	"Aaleah"	"F"	11	16
"71"	"Aaleahya"	"F"	5	NA
"72"	"Aaleayah"	"F"	NA	5
"73"	"Aaleena"	"F"	5	NA
"74"	"Aaleeyah"	"F"	11	9
"75"	"Aaleiah"	"F"	6	NA
"76"	"Aaleigha"	"F"	9	7
"77"	"Aaleiyah"	"F"	NA	5
"78"	"Aalena"	"F"	5	NA
"79"	"Aaleyah"	"F"	153	104
"81"	"Aalia"	"F"	33	46
"82"	"Aaliah"	"F"	46	32
"83"	"Aaliana"	"F"	6	5
"84"	"Aalijah"	"F"	12	8
"86"	"Aalina"	"F"	9	6
"87"	"Aalinah"	"F"	6	NA
"88"	"Aalisa"	"F"	5	NA
"89"	"Aalisha"	"F"	5	NA
"90"	"Aalivia"	"F"	7	NA
"91"	"Aaliya"	"F"	64	57
"92"	"Aaliyah"	"F"	4850	4611
"94"	"Aaliyahmarie"	"F"	6	NA
"95"	"Aaliyahrose"	"F"	5	5
"96"	"Aaliyan"	"F"	NA	6
"98"	"Aaliyana"	"F"	6	8
"99"	"Aaliyanna"	"F"	5	NA
"100"	"Aaliyha"	"F"	6	NA
"101"	"Aaliyiah"	"F"	5	5
"102"	"Aaloni"	"F"	NA	5
"103"	"Aalya"	"F"	8	NA
"104"	"Aalyah"	"F"	23	14
"105"	"Aalyiah"	"F"	23	23
"106"	"Aalyna"	"F"	5	NA
"107"	"Aalyssa"	"F"	NA	5
"108"	"Aamanee"	"F"	5	5
"109"	"Aamani"	"F"	7	23
"110"	"Aamari"	"F"	9	5
"113"	"Aamia"	"F"	5	NA
"115"	"Aamilah"	"F"	12	15
"116"	"Aamina"	"F"	24	24
"117"	"Aaminah"	"F"	42	27
"119"	"Aamira"	"F"	37	25
"120"	"Aamirah"	"F"	15	10
"121"	"Aamiya"	"F"	5	8
"122"	"Aamiyah"	"F"	25	30
"123"	"Aamna"	"F"	6	11
"124"	"Aamora"	"F"	NA	5
"125"	"Aamori"	"F"	7	6
"126"	"Aamyah"	"F"	NA	6
"129"	"Aanaya"	"F"	8	14
"130"	"Aania"	"F"	5	6
"131"	"Aanika"	"F"	24	20
"132"	"Aaniya"	"F"	17	27
"133"	"Aaniyah"	"F"	54	48
"135"	"Aanshi"	"F"	12	13
"136"	"Aanvi"	"F"	47	41
"137"	"Aanya"	"F"	240	214
"139"	"Aara"	"F"	15	13
"140"	"Aarabella"	"F"	6	NA
"141"	"Aarabhi"	"F"	5	NA
"142"	"Aaradhana"	"F"	8	13
"144"	"Aaradhya"	"F"	81	102
"146"	"Aaralyn"	"F"	72	73
"147"	"Aaralynn"	"F"	22	13
"150"	"Aaravi"	"F"	7	5
"152"	"Aaraya"	"F"	5	NA
"154"	"Aari"	"F"	9	NA
"156"	"Aaria"	"F"	36	62
"157"	"Aariah"	"F"	26	32
"158"	"Aarian"	"F"	8	5
"160"	"Aariana"	"F"	27	16
"161"	"Aarianna"	"F"	10	18
"165"	"Aariel"	"F"	11	11
"166"	"Aariella"	"F"	NA	5
"167"	"Aarielle"	"F"	11	7
"170"	"Aarika"	"F"	23	9
"172"	"Aarilyn"	"F"	14	9
"173"	"Aarilynn"	"F"	5	5
"174"	"Aarin"	"F"	NA	6
"176"	"Aarini"	"F"	8	9
"177"	"Aarion"	"F"	7	NA
"179"	"Aariona"	"F"	9	7
"180"	"Aaris"	"F"	6	7
"185"	"Aariya"	"F"	14	16
"186"	"Aariyah"	"F"	57	69
"187"	"Aariyana"	"F"	11	7
"190"	"Aarna"	"F"	147	148
"192"	"Aarnavi"	"F"	5	8
"194"	"Aarohi"	"F"	88	84
"195"	"Aarolyn"	"F"	NA	5
"196"	"Aaron"	"F"	19	22
"201"	"Aarshi"	"F"	NA	5
"202"	"Aarti"	"F"	5	NA
"203"	"Aaruhi"	"F"	5	7
"205"	"Aarushi"	"F"	35	29
"206"	"Aarvi"	"F"	30	25
"207"	"Aarya"	"F"	180	189
"209"	"Aaryah"	"F"	10	7
"210"	"Aaryahi"	"F"	5	7
"212"	"Aaryana"	"F"	11	8
"213"	"Aaryanna"	"F"	NA	8
"216"	"Aaryn"	"F"	46	57
"218"	"Aarynn"	"F"	NA	5
"220"	"Aarza"	"F"	5	NA
"223"	"Aasha"	"F"	15	9
"225"	"Aashi"	"F"	50	50
"226"	"Aashika"	"F"	7	11
"228"	"Aashirya"	"F"	NA	5
"229"	"Aashka"	"F"	7	9
"230"	"Aashna"	"F"	31	34
"231"	"Aashni"	"F"	6	NA
"233"	"Aashrita"	"F"	5	NA
"235"	"Aashritha"	"F"	5	10
"236"	"Aashvi"	"F"	72	63
"237"	"Aasia"	"F"	11	5
"240"	"Aasiya"	"F"	20	5
"241"	"Aasiyah"	"F"	20	38
"243"	"Aastha"	"F"	7	7
"244"	"Aava"	"F"	11	10
"245"	"Aavah"	"F"	7	8
"252"	"Aavya"	"F"	24	80
"254"	"Aaya"	"F"	NA	7
"256"	"Aayah"	"F"	NA	7
"259"	"Aayana"	"F"	6	9
"261"	"Aayat"	"F"	16	21
"264"	"Aayla"	"F"	27	36
"265"	"Aaylah"	"F"	10	11
"266"	"Aayliah"	"F"	5	NA
"267"	"Aayra"	"F"	7	9
"269"	"Aayusha"	"F"	6	NA
"270"	"Aayushi"	"F"	11	9
"271"	"Aazeen"	"F"	NA	5
"274"	"Aaziyah"	"F"	5	5
"278"	"Abagail"	"F"	103	72
"279"	"Abagale"	"F"	10	NA
"280"	"Abagayle"	"F"	NA	5
"281"	"Abaigael"	"F"	NA	6
"282"	"Abaigeal"	"F"	5	9
"288"	"Abbagail"	"F"	19	9
"290"	"Abbey"	"F"	163	139
"291"	"Abbi"	"F"	24	27
"292"	"Abbie"	"F"	212	176
"293"	"Abbigail"	"F"	258	223
"294"	"Abbigal"	"F"	9	NA
"295"	"Abbigale"	"F"	46	39
"296"	"Abbigayle"	"F"	17	24
"298"	"Abbott"	"F"	6	NA
"300"	"Abby"	"F"	721	724
"301"	"Abbygail"	"F"	149	110
"302"	"Abbygale"	"F"	19	21
"303"	"Abbygayle"	"F"	5	16
"304"	"Abcde"	"F"	16	12
"315"	"Abdia"	"F"	NA	5
"381"	"Abeeha"	"F"	9	15
"382"	"Abeer"	"F"	10	8
"384"	"Abeera"	"F"	11	6
"385"	"Abegail"	"F"	NA	7
"386"	"Abel"	"F"	10	6
"388"	"Abela"	"F"	6	5
"390"	"Abelina"	"F"	6	8
"393"	"Abella"	"F"	73	78
"396"	"Abena"	"F"	13	11
"398"	"Aberdeen"	"F"	18	12
"399"	"Abernathy"	"F"	5	NA
"400"	"Abha"	"F"	NA	10
"403"	"Abhigna"	"F"	6	7
"412"	"Abhirami"	"F"	NA	5
"414"	"Abi"	"F"	15	25
"415"	"Abia"	"F"	5	14
"416"	"Abiageal"	"F"	7	6
