"Name"	"Count"
"1"	"Aabha"	14
"2"	"Aabriella"	16
"3"	"Aada"	NA
"4"	"Aadhira"	22
"5"	"Aadhvika"	NA
"6"	"Aadhya"	549
"7"	"Aaditri"	NA
"8"	"Aadrika"	NA
"9"	"Aadriti"	NA
"10"	"Aadvi"	NA
"11"	"Aadvika"	20
"12"	"Aadya"	318
"13"	"Aafia"	NA
"14"	"Aafiya"	NA
"15"	"Aafiyah"	NA
"16"	"Aagna"	NA
"17"	"Aahana"	82
"18"	"Aahna"	NA
"19"	"Aaila"	18
"20"	"Aailiyah"	NA
"21"	"Aailyah"	12
"22"	"Aaima"	33
"23"	"Aaira"	55
"24"	"Aairah"	47
"25"	"Aaisha"	18
"26"	"Aakanksha"	NA
"27"	"Aakriti"	13
"28"	"Aala"	15
"29"	"Aalaiyah"	21
"30"	"Aalani"	33
"31"	"Aalaya"	16
"32"	"Aalayah"	136
"33"	"Aalayiah"	13
"34"	"Aalayna"	NA
"35"	"Aalaysia"	18
"36"	"Aaleah"	27
"37"	"Aaleahya"	NA
"38"	"Aaleayah"	NA
"39"	"Aaleena"	NA
"40"	"Aaleeyah"	20
"41"	"Aaleiah"	NA
"42"	"Aaleigha"	16
"43"	"Aaleiyah"	NA
"44"	"Aalena"	NA
"45"	"Aaleyah"	257
"46"	"Aalia"	79
"47"	"Aaliah"	78
"48"	"Aaliana"	11
"49"	"Aalijah"	20
"50"	"Aalina"	15
"51"	"Aalinah"	NA
"52"	"Aalisa"	NA
"53"	"Aalisha"	NA
"54"	"Aalivia"	NA
"55"	"Aaliya"	121
"56"	"Aaliyah"	9461
"57"	"Aaliyahmarie"	NA
"58"	"Aaliyahrose"	10
"59"	"Aaliyan"	NA
"60"	"Aaliyana"	14
"61"	"Aaliyanna"	NA
"62"	"Aaliyha"	NA
"63"	"Aaliyiah"	10
"64"	"Aaloni"	NA
"65"	"Aalya"	NA
"66"	"Aalyah"	37
"67"	"Aalyiah"	46
"68"	"Aalyna"	NA
"69"	"Aalyssa"	NA
"70"	"Aamanee"	10
"71"	"Aamani"	30
"72"	"Aamari"	14
"73"	"Aamia"	NA
"74"	"Aamilah"	27
"75"	"Aamina"	48
"76"	"Aaminah"	69
"77"	"Aamira"	62
"78"	"Aamirah"	25
"79"	"Aamiya"	13
"80"	"Aamiyah"	55
"81"	"Aamna"	17
"82"	"Aamora"	NA
"83"	"Aamori"	13
"84"	"Aamyah"	NA
"85"	"Aanaya"	22
"86"	"Aania"	11
"87"	"Aanika"	44
"88"	"Aaniya"	44
"89"	"Aaniyah"	102
"90"	"Aanshi"	25
"91"	"Aanvi"	88
"92"	"Aanya"	454
"93"	"Aara"	28
"94"	"Aarabella"	NA
"95"	"Aarabhi"	NA
"96"	"Aaradhana"	21
"97"	"Aaradhya"	183
"98"	"Aaralyn"	145
"99"	"Aaralynn"	35
"100"	"Aaravi"	12
"101"	"Aaraya"	NA
