"Name"	"Gender"	"Freq.x"	"Freq.y"
"6"	"Aada"	"F"	5	NA
"16"	"Aadhvika"	"F"	NA	9
"26"	"Aaditri"	"F"	NA	11
"31"	"Aadrika"	"F"	9	NA
"33"	"Aadriti"	"F"	NA	5
"34"	"Aadvi"	"F"	NA	7
"39"	"Aafia"	"F"	6	NA
"40"	"Aafiya"	"F"	NA	6
"41"	"Aafiyah"	"F"	NA	5
"43"	"Aagna"	"F"	NA	7
"49"	"Aahna"	"F"	12	NA
"53"	"Aailiyah"	"F"	5	NA
"59"	"Aakanksha"	"F"	NA	5
"68"	"Aalayna"	"F"	5	NA
"71"	"Aaleahya"	"F"	5	NA
"72"	"Aaleayah"	"F"	NA	5
"73"	"Aaleena"	"F"	5	NA
"75"	"Aaleiah"	"F"	6	NA
"77"	"Aaleiyah"	"F"	NA	5
"78"	"Aalena"	"F"	5	NA
"87"	"Aalinah"	"F"	6	NA
"88"	"Aalisa"	"F"	5	NA
"89"	"Aalisha"	"F"	5	NA
"90"	"Aalivia"	"F"	7	NA
"94"	"Aaliyahmarie"	"F"	6	NA
"96"	"Aaliyan"	"F"	NA	6
"99"	"Aaliyanna"	"F"	5	NA
"100"	"Aaliyha"	"F"	6	NA
"102"	"Aaloni"	"F"	NA	5
"103"	"Aalya"	"F"	8	NA
"106"	"Aalyna"	"F"	5	NA
"107"	"Aalyssa"	"F"	NA	5
"113"	"Aamia"	"F"	5	NA
"124"	"Aamora"	"F"	NA	5
"126"	"Aamyah"	"F"	NA	6
"140"	"Aarabella"	"F"	6	NA
"141"	"Aarabhi"	"F"	5	NA
"152"	"Aaraya"	"F"	5	NA
"154"	"Aari"	"F"	9	NA
"166"	"Aariella"	"F"	NA	5
"174"	"Aarin"	"F"	NA	6
"177"	"Aarion"	"F"	7	NA
"195"	"Aarolyn"	"F"	NA	5
"201"	"Aarshi"	"F"	NA	5
"202"	"Aarti"	"F"	5	NA
"213"	"Aaryanna"	"F"	NA	8
"218"	"Aarynn"	"F"	NA	5
