"Name"	"Count"
"1"	"Aada"	5
"2"	"Aadhvika"	9
"3"	"Aaditri"	11
"4"	"Aadrika"	9
"5"	"Aadriti"	5
"6"	"Aadvi"	7
"7"	"Aafia"	6
"8"	"Aafiya"	6
"9"	"Aafiyah"	5
"10"	"Aagna"	7
"11"	"Aahna"	12
"12"	"Aailiyah"	5
"13"	"Aakanksha"	5
"14"	"Aalayna"	5
"15"	"Aaleahya"	5
"16"	"Aaleayah"	5
"17"	"Aaleena"	5
"18"	"Aaleiah"	6
"19"	"Aaleiyah"	5
"20"	"Aalena"	5
"21"	"Aalinah"	6
"22"	"Aalisa"	5
"23"	"Aalisha"	5
"24"	"Aalivia"	7
"25"	"Aaliyahmarie"	6
"26"	"Aaliyan"	6
"27"	"Aaliyanna"	5
"28"	"Aaliyha"	6
"29"	"Aaloni"	5
"30"	"Aalya"	8
"31"	"Aalyna"	5
"32"	"Aalyssa"	5
"33"	"Aamia"	5
"34"	"Aamora"	5
"35"	"Aamyah"	6
"36"	"Aarabella"	6
"37"	"Aarabhi"	5
"38"	"Aaraya"	5
"39"	"Aari"	9
"40"	"Aariella"	5
"41"	"Aarin"	6
"42"	"Aarion"	7
"43"	"Aarolyn"	5
"44"	"Aarshi"	5
"45"	"Aarti"	5
"46"	"Aaryanna"	8
"47"	"Aarynn"	5
"48"	"Aarza"	5
"49"	"Aashirya"	5
"50"	"Aashni"	6
"51"	"Aashrita"	5
"52"	"Aaya"	7
"53"	"Aayah"	7
"54"	"Aayliah"	5
"55"	"Aayusha"	6
"56"	"Aazeen"	5
"57"	"Abagale"	10
"58"	"Abagayle"	5
"59"	"Abaigael"	6
"60"	"Abbigal"	9
"61"	"Abbott"	6
"62"	"Abdia"	5
"63"	"Abegail"	7
"64"	"Abernathy"	5
"65"	"Abha"	10
"66"	"Abhirami"	5
"67"	"Abida"	7
"68"	"Abidah"	5
"69"	"Abiela"	5
"70"	"Abigai"	6
"71"	"Abigailgrace"	7
"72"	"Abigial"	7
"73"	"Abijah"	9
"74"	"Abinaya"	5
"75"	"Abir"	5
"76"	"Abira"	11
"77"	"Abirami"	5
"78"	"Abish"	7
"79"	"Abishai"	6
"80"	"Abiyah"	7
"81"	"Abraham"	6
"82"	"Abraya"	5
"83"	"Abreana"	5
"84"	"Abrey"	6
"85"	"Abrial"	5
"86"	"Abriannah"	9
"87"	"Abrienne"	6
"88"	"Abriyah"	5
"89"	"Abry"	7
"90"	"Abryella"	5
"91"	"Abuk"	5
"92"	"Abygael"	6
"93"	"Abygayle"	5
"94"	"Accalia"	7
"95"	"Acelee"	5
"96"	"Achsah"	6
"97"	"Acie"	5
"98"	"Acire"	6
"99"	"Adaela"	5
"100"	"Adaijah"	5
"101"	"Adailyn"	8
"102"	"Adale"	5
"103"	"Adaleine"	6
"104"	"Adaleya"	6
"105"	"Adalicia"	7
"106"	"Adalinne"	5
"107"	"Adallyn"	11
"108"	"Adalyse"	6
"109"	"Adamarys"	5
"110"	"Adana"	5
"111"	"Adaobi"	6
"112"	"Adar"	6
"113"	"Adaria"	7
"114"	"Adasha"	5
"115"	"Adassa"	5
"116"	"Adau"	6
"117"	"Adaugo"	8
"118"	"Adaure"	5
"119"	"Adayla"	6
"120"	"Adda"	7
"121"	"Addaley"	6
"122"	"Addalin"	6
"123"	"Addallee"	5
"124"	"Addaly"	5
"125"	"Addelaide"	5
"126"	"Addelina"	7
"127"	"Addelyne"	7
"128"	"Addelynne"	9
"129"	"Addiley"	6
"130"	"Addis"	5
"131"	"Addisin"	5
"132"	"Addisun"	5
"133"	"Addlee"	7
"134"	"Addylan"	5
"135"	"Ade"	6
"136"	"Adebola"	5
"137"	"Adecyn"	10
"138"	"Adeeba"	10
"139"	"Adelade"	8
"140"	"Adelais"	6
"141"	"Adelea"	6
"142"	"Adelee"	9
"143"	"Adeleen"	5
"144"	"Adelen"	7
"145"	"Adeley"	6
"146"	"Adeli"	6
"147"	"Adeliah"	5
"148"	"Adelilah"	5
"149"	"Adelinn"	6
"150"	"Adelisa"	8
"151"	"Adelline"	8
"152"	"Adera"	5
"153"	"Aderinsola"	9
"154"	"Adesire"	5
"155"	"Adesola"	5
"156"	"Adey"	7
"157"	"Adiah"	5
"158"	"Adianey"	6
"159"	"Adilen"	7
"160"	"Adiline"	10
"161"	"Adilyne"	11
"162"	"Adithri"	5
"163"	"Adjoa"	5
"164"	"Adlai"	6
"165"	"Admire"	7
"166"	"Adoniah"	6
"167"	"Adonis"	6
"168"	"Ador"	5
"169"	"Adorabella"	6
"170"	"Adorah"	6
"171"	"Adra"	7
"172"	"Adraya"	6
"173"	"Adrea"	5
"174"	"Adree"	5
"175"	"Adrena"	6
"176"	"Adrey"	5
"177"	"Adrianah"	7
"178"	"Adrianny"	5
"179"	"Adriauna"	6
"180"	"Adriela"	8
