Brew_ID,Name,City,State,,,,
1,NorthGate Brewing ,Minneapolis, MN,NorthGate Brewing  Minneapolis  MN,"783 Harding St NE, Minneapolis, MN 55413",,
2,Against the Grain Brewery,Louisville, KY,Against the Grain Brewery Louisville  KY,"401 E Main St, Louisville, KY 40202",,
3,Jack's Abby Craft Lagers,Framingham, MA,Jack's Abby Craft Lagers Framingham  MA,"100 Clinton St, Framingham, MA 01702",,
4,Mike Hess Brewing Company,San Diego, CA,Mike Hess Brewing Company San Diego  CA,"7955 Silverton Ave #1201, San Diego, CA 92126","3812 Grim Ave, San Diego, CA 92104","4893 Voltaire St, San Diego, CA 92107"
5,Fort Point Beer Company,San Francisco, CA,Fort Point Beer Company San Francisco  CA,"644 Old Mason St, San Francisco, CA 94129","1 The Embarcadero #54, San Francisco, CA 94105",
6,COAST Brewing Company,Charleston, SC,COAST Brewing Company Charleston  SC,"1250 2nd St N, North Charleston, SC 29405",,
7,Great Divide Brewing Company,Denver, CO,Great Divide Brewing Company Denver  CO,"2201 Arapahoe St, Denver, CO 80205",,
8,Tapistry Brewing,Bridgman, MI,Tapistry Brewing Bridgman  MI,"4236 Lake St, Bridgman, MI 49106",,
9,Big Lake Brewing,Holland, MI,Big Lake Brewing Holland  MI,"977 Butternut Dr #4, Holland, MI 49424",,
10,The Mitten Brewing Company,Grand Rapids, MI,The Mitten Brewing Company Grand Rapids  MI,"527 Leonard St NW, Grand Rapids, MI 49504",,
11,Brewery Vivant,Grand Rapids, MI,Brewery Vivant Grand Rapids  MI,"925 Cherry St SE, Grand Rapids, MI 49506",,
12,Petoskey Brewing,Petoskey, MI,Petoskey Brewing Petoskey  MI,"1844 M 119 Harbor-Petoskey Road, Petoskey, MI 49770",,
13,Blackrocks Brewery,Marquette, MI,Blackrocks Brewery Marquette  MI,"424 N 3rd St, Marquette, MI 49855",,
14,Perrin Brewing Company,Comstock Park, MI,Perrin Brewing Company Comstock Park  MI,"5910 Comstock Park Dr NW, Comstock Park, MI 49321",,
15,Witch's Hat Brewing Company,South Lyon, MI,Witch's Hat Brewing Company South Lyon  MI,"601 S Lafayette St, South Lyon, MI 48178",,
16,Founders Brewing Company,Grand Rapids, MI,Founders Brewing Company Grand Rapids  MI,"235 Grandville Ave SW, Grand Rapids, MI 49503",,
17,Flat 12 Bierwerks,Indianapolis, IN,Flat 12 Bierwerks Indianapolis  IN,"414 Dorman St, Indianapolis, IN 46202",,
18,Tin Man Brewing Company,Evansville, IN,Tin Man Brewing Company Evansville  IN,"1430 W Franklin St, Evansville, IN 47710",,
19,Black Acre Brewing Co.,Indianapolis, IN,Black Acre Brewing Co. Indianapolis  IN,"5632 E Washington St, Indianapolis, IN 46219",,
20,Brew Link Brewing,Plainfield, IN,Brew Link Brewing Plainfield  IN,"212 E Main St, Plainfield, IN 46168",,
21,Bare Hands Brewery,Granger, IN,Bare Hands Brewery Granger  IN,"12804 Sandy Ct, Granger, IN 46530",,
22,Three Pints Brewing,Martinsville, IN,Three Pints Brewing Martinsville  IN,"5020 Cambridge Way, Plainfield, IN 46168",,
23,Four Fathers Brewing ,Valparaiso, IN,Four Fathers Brewing  Valparaiso  IN,"1555 W Lincolnway, Valparaiso, IN 46385",,
